2019-11-13 07:55:43.6765 | INFO | Auto configuration: True
2019-11-13 07:55:44.1074 | INFO | RestService started at http://localhost:8888/
2019-11-13 07:55:44.2720 | INFO | RestService stopped
2019-11-13 07:55:44.2789 | INFO | Auto configuration: True
2019-11-13 07:55:44.2989 | INFO | Service started
2019-11-13 07:55:44.4674 | INFO | RestService started at http://localhost:8888/
2019-11-13 07:57:34.2434 | INFO | Auto configuration: True
2019-11-13 07:57:34.5266 | INFO | RestService started at http://localhost:8888/
2019-11-13 07:57:34.6727 | INFO | RestService stopped
2019-11-13 07:57:34.6797 | INFO | Auto configuration: True
2019-11-13 07:57:34.7046 | INFO | Service started
2019-11-13 07:57:34.8562 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:00:23.1195 | INFO | Auto configuration: True
2019-11-13 08:00:23.4157 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:00:23.5444 | INFO | RestService stopped
2019-11-13 08:00:23.5932 | INFO | Auto configuration: True
2019-11-13 08:00:23.6137 | INFO | Service started
2019-11-13 08:00:23.7809 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:03:52.8375 | INFO | Auto configuration: True
2019-11-13 08:03:53.1163 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:03:53.2430 | INFO | RestService stopped
2019-11-13 08:03:53.2629 | INFO | Auto configuration: True
2019-11-13 08:03:53.3018 | INFO | Service started
2019-11-13 08:03:53.4644 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:09:59.5664 | INFO | Auto configuration: True
2019-11-13 08:09:59.8512 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:09:59.9809 | INFO | RestService stopped
2019-11-13 08:09:59.9809 | INFO | Auto configuration: True
2019-11-13 08:10:00.0517 | INFO | Service started
2019-11-13 08:10:00.2415 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:13:02.6774 | INFO | Auto configuration: True
2019-11-13 08:13:02.9616 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:13:03.0843 | INFO | RestService stopped
2019-11-13 08:13:03.1351 | INFO | Auto configuration: True
2019-11-13 08:13:03.1531 | INFO | Service started
2019-11-13 08:13:03.3082 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:20:06.9793 | INFO | Auto configuration: True
2019-11-13 08:20:07.2750 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:20:07.4012 | INFO | RestService stopped
2019-11-13 08:20:07.4092 | INFO | Auto configuration: True
2019-11-13 08:20:07.4262 | INFO | Service started
2019-11-13 08:20:07.5835 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:24:43.9308 | INFO | Auto configuration: True
2019-11-13 08:24:44.2081 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:24:44.3387 | INFO | RestService stopped
2019-11-13 08:24:44.3587 | INFO | Auto configuration: True
2019-11-13 08:24:44.4056 | INFO | Service started
2019-11-13 08:24:44.5631 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:25:41.9831 | INFO | Auto configuration: True
2019-11-13 08:25:42.2704 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:25:42.4251 | INFO | RestService stopped
2019-11-13 08:25:42.4251 | INFO | Auto configuration: True
2019-11-13 08:25:42.4470 | INFO | Service started
2019-11-13 08:25:42.6121 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:28:40.9768 | INFO | Auto configuration: True
2019-11-13 08:28:41.2581 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:28:41.3967 | INFO | RestService stopped
2019-11-13 08:28:41.3967 | INFO | Auto configuration: True
2019-11-13 08:28:41.4196 | INFO | Service started
2019-11-13 08:28:41.5812 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:30:30.9855 | INFO | Auto configuration: True
2019-11-13 08:30:31.2757 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:30:31.4153 | INFO | RestService stopped
2019-11-13 08:30:31.4243 | INFO | Auto configuration: True
2019-11-13 08:30:31.4432 | INFO | Service started
2019-11-13 08:30:31.6018 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:33:59.3719 | INFO | Auto configuration: True
2019-11-13 08:33:59.6680 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:33:59.8056 | INFO | RestService stopped
2019-11-13 08:33:59.8056 | INFO | Auto configuration: True
2019-11-13 08:33:59.8525 | INFO | Service started
2019-11-13 08:34:00.0472 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:54:44.9390 | INFO | Auto configuration: True
2019-11-13 08:54:45.2343 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:54:45.4028 | INFO | RestService stopped
2019-11-13 08:54:45.4207 | INFO | Auto configuration: True
2019-11-13 08:54:45.4776 | INFO | Service started
2019-11-13 08:54:45.6422 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:56:04.0995 | INFO | Auto configuration: True
2019-11-13 08:56:04.3867 | INFO | RestService started at http://localhost:8888/
2019-11-13 08:56:04.5143 | INFO | RestService stopped
2019-11-13 08:56:04.5143 | INFO | Auto configuration: True
2019-11-13 08:56:04.5692 | INFO | Service started
2019-11-13 08:56:04.7337 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:02:48.5346 | INFO | Auto configuration: True
2019-11-13 09:02:48.8498 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:02:49.0035 | INFO | RestService stopped
2019-11-13 09:02:49.0134 | INFO | Auto configuration: True
2019-11-13 09:02:49.0513 | INFO | Service started
2019-11-13 09:02:49.2129 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:06:01.5242 | INFO | Auto configuration: True
2019-11-13 09:06:01.8239 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:06:01.9576 | INFO | RestService stopped
2019-11-13 09:06:01.9576 | INFO | Auto configuration: True
2019-11-13 09:06:01.9845 | INFO | Service started
2019-11-13 09:06:02.1476 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:29:05.1110 | INFO | Auto configuration: True
2019-11-13 09:29:05.3930 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:29:05.5306 | INFO | RestService stopped
2019-11-13 09:29:05.5396 | INFO | Auto configuration: True
2019-11-13 09:29:05.5595 | INFO | Service started
2019-11-13 09:29:05.7231 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:54:05.1224 | INFO | Auto configuration: True
2019-11-13 09:54:05.4126 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:54:05.5423 | INFO | RestService stopped
2019-11-13 09:54:05.5423 | INFO | Auto configuration: True
2019-11-13 09:54:05.5892 | INFO | Service started
2019-11-13 09:54:05.7657 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:58:52.0212 | INFO | Auto configuration: True
2019-11-13 09:58:52.3330 | INFO | RestService started at http://localhost:8888/
2019-11-13 09:58:52.5069 | INFO | RestService stopped
2019-11-13 09:58:52.5189 | INFO | Auto configuration: True
2019-11-13 09:58:52.5513 | INFO | Service started
2019-11-13 09:58:52.7201 | INFO | RestService started at http://localhost:8888/
2019-11-13 10:00:48.8388 | INFO | Auto configuration: True
2019-11-13 10:00:49.1296 | INFO | RestService started at http://localhost:8888/
2019-11-13 10:00:49.2768 | INFO | RestService stopped
2019-11-13 10:00:49.2887 | INFO | Auto configuration: True
2019-11-13 10:00:49.3037 | INFO | Service started
