2019-11-08 13:00:30.9061 | INFO | RestService stopped
2019-11-08 13:00:30.9061 | INFO | Auto configuration: True
2019-11-08 13:00:30.9360 | INFO | Service started
2019-11-08 13:00:31.1312 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:03:47.4109 | INFO | Auto configuration: True
2019-11-08 13:03:47.6907 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:03:47.8439 | INFO | RestService stopped
2019-11-08 13:03:47.8579 | INFO | Auto configuration: True
2019-11-08 13:03:47.8699 | INFO | Service started
2019-11-08 13:03:50.0130 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:04:55.5161 | INFO | Auto configuration: True
2019-11-08 13:04:55.8061 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:04:55.9323 | INFO | RestService stopped
2019-11-08 13:04:55.9403 | INFO | Auto configuration: True
2019-11-08 13:04:56.0071 | INFO | Service started
2019-11-08 13:04:56.2042 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:05:15.3184 | INFO | Auto configuration: True
2019-11-08 13:05:15.5907 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:05:15.7382 | INFO | RestService stopped
2019-11-08 13:05:15.7382 | INFO | Auto configuration: True
2019-11-08 13:05:15.7622 | INFO | Service started
2019-11-08 13:05:15.9629 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:19:27.2278 | INFO | Auto configuration: True
2019-11-08 13:19:27.4995 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:19:27.6393 | INFO | RestService stopped
2019-11-08 13:19:27.6503 | INFO | Auto configuration: True
2019-11-08 13:19:27.6692 | INFO | Service started
2019-11-08 13:19:27.9051 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:34:16.8786 | INFO | Auto configuration: True
2019-11-08 13:34:17.1521 | INFO | RestService started at http://localhost:8888/
2019-11-08 13:34:17.2938 | INFO | RestService stopped
2019-11-08 13:34:17.2938 | INFO | Auto configuration: True
2019-11-08 13:34:17.3397 | INFO | Service started
2019-11-08 13:34:17.5411 | INFO | RestService started at http://localhost:8888/
2019-11-08 14:53:05.0998 | INFO | Auto configuration: True
2019-11-08 14:53:05.3763 | INFO | RestService started at http://localhost:8888/
2019-11-08 14:53:05.5159 | INFO | RestService stopped
2019-11-08 14:53:05.5309 | INFO | Auto configuration: True
2019-11-08 14:53:05.5468 | INFO | Service started
2019-11-08 14:53:05.7533 | INFO | RestService started at http://localhost:8888/
2019-11-08 14:54:49.3449 | INFO | Auto configuration: True
2019-11-08 14:54:49.6242 | INFO | RestService started at http://localhost:8888/
2019-11-08 14:54:49.7638 | INFO | RestService stopped
2019-11-08 14:54:49.7638 | INFO | Auto configuration: True
2019-11-08 14:54:49.8262 | INFO | Service started
2019-11-08 14:54:50.0207 | INFO | RestService started at http://localhost:8888/
2019-11-08 14:59:21.4105 | INFO | Auto configuration: True
2019-11-08 14:59:21.6833 | INFO | RestService started at http://localhost:8888/
2019-11-08 14:59:21.8219 | INFO | RestService stopped
2019-11-08 14:59:21.8219 | INFO | Auto configuration: True
2019-11-08 14:59:21.8668 | INFO | Service started
2019-11-08 14:59:22.0663 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:10:56.1546 | INFO | Auto configuration: True
2019-11-08 15:10:56.5097 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:10:56.6758 | INFO | RestService stopped
2019-11-08 15:10:56.6868 | INFO | Auto configuration: True
2019-11-08 15:10:56.7567 | INFO | Service started
2019-11-08 15:10:56.9796 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:22:48.9132 | INFO | Auto configuration: True
2019-11-08 15:22:49.1945 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:22:49.3310 | INFO | RestService stopped
2019-11-08 15:22:49.3610 | INFO | Auto configuration: True
2019-11-08 15:22:49.3999 | INFO | Service started
2019-11-08 15:22:49.6013 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:23:57.3979 | INFO | Auto configuration: True
2019-11-08 15:23:57.6771 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:23:57.8122 | INFO | RestService stopped
2019-11-08 15:23:57.8192 | INFO | Auto configuration: True
2019-11-08 15:23:57.8561 | INFO | Service started
2019-11-08 15:23:58.0576 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:25:49.4408 | INFO | Auto configuration: True
2019-11-08 15:25:49.7180 | INFO | RestService started at http://localhost:8888/
2019-11-08 15:26:06.7384 | INFO | RestService stopped
2019-11-08 15:26:06.7384 | INFO | Auto configuration: True
2019-11-08 15:26:06.7693 | INFO | Service started
2019-11-08 15:26:07.0129 | INFO | RestService started at http://localhost:8888/
