2019-11-11 14:29:34.7569 | INFO | Auto configuration: True
2019-11-11 14:29:35.1803 | INFO | RestService started at http://localhost:8888/
2019-11-11 14:29:35.3501 | INFO | RestService stopped
2019-11-11 14:29:35.3790 | INFO | Auto configuration: True
2019-11-11 14:29:35.3980 | INFO | Service started
2019-11-11 14:29:35.5821 | INFO | RestService started at http://localhost:8888/
2019-11-11 14:38:19.1197 | INFO | Auto configuration: True
2019-11-11 14:38:19.4279 | INFO | RestService started at http://localhost:8888/
2019-11-11 14:38:19.6128 | INFO | RestService stopped
2019-11-11 14:38:19.6128 | INFO | Auto configuration: True
2019-11-11 14:38:19.6582 | INFO | Service started
2019-11-11 14:38:19.8393 | INFO | RestService started at http://localhost:8888/
2019-11-11 14:44:44.1441 | INFO | Auto configuration: True
2019-11-11 14:44:44.4266 | INFO | RestService started at http://localhost:8888/
2019-11-11 14:44:44.5737 | INFO | RestService stopped
2019-11-11 14:44:44.5737 | INFO | Auto configuration: True
2019-11-11 14:44:44.6201 | INFO | Service started
2019-11-11 14:44:44.8222 | INFO | RestService started at http://localhost:8888/
2019-11-11 14:48:42.8870 | INFO | Auto configuration: True
2019-11-11 14:48:43.1718 | INFO | RestService started at http://localhost:8888/
2019-11-11 14:48:43.3055 | INFO | RestService stopped
2019-11-11 14:48:43.3055 | INFO | Auto configuration: True
2019-11-11 14:48:43.3294 | INFO | Service started
2019-11-11 14:48:43.5149 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:21:03.2273 | INFO | Auto configuration: True
2019-11-11 16:21:03.5305 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:21:03.6961 | INFO | RestService stopped
2019-11-11 16:21:03.6961 | INFO | Auto configuration: True
2019-11-11 16:21:03.7449 | INFO | Service started
2019-11-11 16:21:03.9265 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:24:09.9150 | INFO | Auto configuration: True
2019-11-11 16:24:10.2102 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:24:10.3464 | INFO | RestService stopped
2019-11-11 16:24:10.3543 | INFO | Auto configuration: True
2019-11-11 16:24:10.3683 | INFO | Service started
2019-11-11 16:24:10.5498 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:34:11.8984 | INFO | Auto configuration: True
2019-11-11 16:34:12.1757 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:34:12.3214 | INFO | RestService stopped
2019-11-11 16:34:12.3214 | INFO | Auto configuration: True
2019-11-11 16:34:12.3663 | INFO | Service started
2019-11-11 16:34:12.5508 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:34:38.3942 | INFO | Auto configuration: True
2019-11-11 16:34:38.6764 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:34:38.8091 | INFO | RestService stopped
2019-11-11 16:34:38.8091 | INFO | Auto configuration: True
2019-11-11 16:34:38.8649 | INFO | Service started
2019-11-11 16:34:39.0495 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:38:22.6029 | INFO | Auto configuration: True
2019-11-11 16:38:22.9127 | INFO | RestService started at http://localhost:8888/
2019-11-11 16:38:23.0448 | INFO | RestService stopped
2019-11-11 16:38:23.0448 | INFO | Auto configuration: True
2019-11-11 16:38:23.1097 | INFO | Service started
2019-11-11 16:38:23.2927 | INFO | RestService started at http://localhost:8888/
